time,position,velocity
0.0,1.0,0.0
0.05,0.9987502607240785,-0.049979172337067945
0.1,0.9950041651067683,-0.0998334167839834
0.15000000000000002,0.988772228817238,-0.14944096582430028
0.2,0.9800718461274439,-0.1986808172365338
0.25,0.9689235101349435,-0.2474253778983331
0.30000000000000004,0.9553537366257467,-0.2955497818419179
0.35000000000000003,0.9393951634835316,-0.3429321664379338
0.4,0.9210865506896434,-0.3894536723954535
0.45,0.9004727803230951,-0.43499844376197555
0.5,0.877604856560567,-0.4794536279234255
0.55,0.852539905676407,-0.5227093756041548
0.6000000000000001,0.8253411760426308,-0.5646588408669416
0.65,0.7960780381289212,-0.6051981811129903
0.7000000000000001,0.7648259845026286,-0.6442265570819322
0.75,0.7316666298287713,-0.6816461328518244
0.8,0.6966835437395948,-0.7173724204295219
0.8500000000000001,0.6599599801667688,-0.7513301193357341
0.9,0.6215898507018693,-0.7834242519565601
0.9500000000000001,0.5816699906799666,-0.8135658591456112
1.0,0.5402999014559401,-0.8416727485036296
1.05,0.4975817504044775,-0.8676694943784891
1.1,0.4536203709200756,-0.8914874378651941
1.1500000000000001,0.40852326241704023,-0.9130646868058807
1.2000000000000002,0.36240059032948546,-0.9323461157898154
1.25,0.31536518611133474,-0.9492833661533964
1.3,0.26753254723631925,-0.9638348459801529
1.35,0.21902083719798016,-0.9759657301007453
1.4000000000000001,0.16995088550966686,-0.9856479600929648
1.4500000000000002,0.12044618770453741,-0.992860244281734
1.5,0.0706329053355591,-0.9975880577391067
1.55,0.020639865975507266,-0.9998236422842677
1.6,-0.02940143678303342,-0.9995660064835326
1.6500000000000001,-0.07935684332766935,-0.9968209256503489
1.7000000000000002,-0.1290901390429142,-0.9916009584820062
1.75,-0.17850645033281876,-0.9839239909197821
1.8,-0.22749609605010632,-0.973805878285297
1.85,-0.2759263384857417,-0.9612664238628009
1.9000000000000001,-0.3236684152652752,-0.9463316267576214
1.9500000000000002,-0.37059753934884176,-0.929033681896163
2.0,-0.4165928990311612,-0.9094109800259075
2.0500000000000003,-0.46153765794153934,-0.8875081077154134
2.1,-0.505318955043865,-0.8633758473543172
2.15,-0.5478279046366139,-0.8370711771533319
2.2,-0.5889595963528458,-0.8086572711442475
2.25,-0.6286130951602051,-0.7782034991799319
2.3000000000000003,-0.6666914413609223,-0.7457854269343294
2.35,-0.7031016505918115,-0.7114848159024622
2.4000000000000004,-0.7377547138242727,-0.6753896234004287
2.45,-0.7705655973642903,-0.6375940025654058
2.5,-0.801453242852434,-0.5981983023556463
2.5500000000000003,-0.8303405672638589,-0.5573090675504804
2.6,-0.8571544629083034,-0.5150390387503162
2.6500000000000004,-0.8818257974300932,-0.4715071523766379
2.7,-0.9042922941182443,-0.42683393876199144
2.75,-0.9245229864486849,-0.38109533313444055
2.8000000000000003,-0.9424654700278497,-0.334399401655917
2.85,-0.958065225213111,-0.2868678910031628
2.9000000000000004,-0.9712750806783024,-0.23862264490695353
2.95,-0.9820552134137177,-0.18978560415210127
3.0,-0.9903731487261122,-0.14047880657745232
3.0500000000000003,-0.9962037602387018,-0.09082438707588775
3.1,-0.9995292698911635,-0.04094457759432496
3.1500000000000004,-1.000339247939635,0.009038292866285158
3.2,-0.9986306129567148,0.05900179825095486
3.25,-0.9944076318314629,0.10882341545066254
3.3000000000000003,-0.9876819197693993,0.15838052430235194
3.35,-0.9784724402925056,0.20755040758892995
3.4000000000000004,-0.9668055052392239,0.2562102510392702
3.45,-0.9527147747644577,0.3042371433282095
3.5,-0.9362412573395706,0.35150807607655155
3.5500000000000003,-0.9174333097523879,0.3978999438510634
3.6,-0.8963466371071952,0.44328954416447763
3.6500000000000004,-0.8730442928247393,0.487553577475492
3.7,-0.8475859732886712,0.5305875578957752
3.75,-0.8200159680349942,0.5723166425959234
3.8000000000000003,-0.7904020587550765,0.6126278323986813
3.85,-0.7588172810603493,0.6514119496483577
3.9000000000000004,-0.7253388677664752,0.688565720471118
3.95,-0.6900482488933506,0.7239917747749822
4.0,-0.6530310516651042,0.7575986462498265
4.05,-0.6143771005100975,0.7893007723673833
4.1000000000000005,-0.5741804170609235,0.81901849438124
4.15,-0.532539220154411,0.8466780573268388
4.2,-0.4895559258316184,0.872211610021479
4.25,-0.44533714733783847,0.8955572050643148
4.3,-0.3999936951225958,0.9166587988363561
4.3500000000000005,-0.3536405768396479,0.9354662515004692
4.4,-0.30639699734698644,0.9519353270013744
4.45,-0.25838635870683413,0.9660276930656488
4.5,-0.20973626018564684,0.977710921201725
4.55,-0.16057849825411308,0.9869584866998913
4.6000000000000005,-0.11104256714185491,0.9937517380786448
4.65,-0.06121695408679158,0.9980870610053657
4.7,-0.011226641970609866,0.9999486167395666
4.75,0.038795521814340705,0.9993238409988917
4.800000000000001,0.08871898511358345,0.9962071818760466
4.8500000000000005,0.13841549101051082,0.990600099838798
4.9,0.18775907782638973,0.9825110677299743
4.95,0.23662607912035838,0.9719555707674651
5.0,0.28489512368942643,0.9589561065442211
5.050000000000001,0.3324471355684767,0.9435421850282543
5.1000000000000005,0.3791653340302611,0.9257503285626387
5.15,0.42493523358540597,0.905624071865509
5.2,0.46964464398240857,0.8832139620300613
5.25,0.5131836702076384,0.8585775585245533
5.300000000000001,0.5554447124853372,0.8317794331923032
5.3500000000000005,0.596322466277617,0.8028911702516922
5.4,0.6357139222844624,0.7719913662961613
5.45,0.6735183664437311,0.7391656302942133
5.5,0.7096373799311515,0.7045065835894126
5.550000000000001,0.7439748391603248,0.668113859900384
5.6000000000000005,0.7764430458190641,0.6300877981736941
